SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
302031038,Northgate - Virginia,3001,Brisbane,6.1367948941
302031039,Nudgee - Banyo,3001,Brisbane,13.2525796331
302031040,Nundah,3001,Brisbane,3.6621507585
302041041,Bracken Ridge,3001,Brisbane,8.4414078903
302041042,Brighton (Qld),3001,Brisbane,6.4820551566
302041043,Deagon,3001,Brisbane,2.7987439090
302041044,Sandgate - Shorncliffe,3001,Brisbane,4.2979984698
302041045,Taigum - Fitzgibbon,3001,Brisbane,6.2623448715
302041046,Zillmere,3001,Brisbane,3.6932010740
303011047,Camp Hill,3001,Brisbane,4.5817744719
303011048,Cannon Hill,3001,Brisbane,3.9504726503
303011049,Carina,3001,Brisbane,4.3766839932
303011050,Carina Heights,3001,Brisbane,3.3997618091
303011051,Carindale,3001,Brisbane,10.1974202201
303021052,Annerley,3001,Brisbane,2.8764278221
303021053,Coorparoo,3001,Brisbane,5.2891282092
303021054,Fairfield - Dutton Park,3001,Brisbane,2.0804720559
303021055,Greenslopes,3001,Brisbane,2.9367939260
303021056,Holland Park,3001,Brisbane,3.2611076469
303021057,Holland Park West,3001,Brisbane,2.5680627366
303021058,Woolloongabba,3001,Brisbane,2.3846858048
303021059,Yeronga,3001,Brisbane,6.0674111193
303031060,Eight Mile Plains,3001,Brisbane,7.6528005479
303031061,Macgregor (Qld),3001,Brisbane,2.7125557848
303031062,Mansfield (Qld),3001,Brisbane,5.3099497952
303031063,Mount Gravatt,3001,Brisbane,7.3649770586
303031064,Rochedale - Burbank,3001,Brisbane,47.2764940351
303031065,Upper Mount Gravatt,3001,Brisbane,4.2089886479
303031066,Wishart,3001,Brisbane,4.7866972520
303041067,Coopers Plains,3001,Brisbane,4.3765541585
303041068,Moorooka,3001,Brisbane,4.0841273509
303041069,Robertson,3001,Brisbane,1.9037644085
303041070,Salisbury - Nathan,3001,Brisbane,9.5548191835
303041071,Tarragindi,3001,Brisbane,4.5467470840
303051072,Algester,3001,Brisbane,3.6875038722
303051073,Calamvale - Stretton,3001,Brisbane,19.7107250061
303051074,Pallara - Willawong,3001,Brisbane,26.5924806683
303051075,Parkinson - Drewvale,3001,Brisbane,12.6993885951
303051076,Rocklea - Acacia Ridge,3001,Brisbane,22.5170449512
303061077,Kuraby,3001,Brisbane,4.7035703497
303061078,Runcorn,3001,Brisbane,6.5872052961
303061079,Sunnybank,3001,Brisbane,4.4548256398
303061080,Sunnybank Hills,3001,Brisbane,6.4408187863
304011081,Jindalee - Mount Ommaney,3001,Brisbane,4.7972003225
304011082,Middle Park - Jamboree Heights,3001,Brisbane,2.6842411748
304011083,Riverhills,3001,Brisbane,2.1702890223
304011084,Seventeen Mile Rocks - Sinnamon Park,3001,Brisbane,5.3897223827
304011085,Westlake,3001,Brisbane,1.9041780231
304021086,Bellbowrie - Moggill,3001,Brisbane,16.2152040482
304021087,Brookfield - Kenmore Hills,3001,Brisbane,57.9095094271
304021088,Chapel Hill,3001,Brisbane,5.3977772532
304021089,Fig Tree Pocket,3001,Brisbane,4.2710198523
304021090,Kenmore,3001,Brisbane,5.2139696270
304021091,Pinjarra Hills - Pullenvale,3001,Brisbane,43.6349001462
304031092,Chelmer - Graceville,3001,Brisbane,3.2398686458
304031093,Corinda,3001,Brisbane,2.8790016283
304031094,Indooroopilly,3001,Brisbane,7.3502419864
304031095,Sherwood,3001,Brisbane,2.2789440813
304031096,St Lucia,3001,Brisbane,3.4190701667
304031097,Taringa,3001,Brisbane,2.1127733385
304041098,Enoggera,3001,Brisbane,9.3451909146
304041099,Enoggera Reservoir,3000,Not in any Significant Urban Area (Qld),37.7265108799
304041100,Keperra,3001,Brisbane,5.4531255219
304041101,Mitchelton,3001,Brisbane,4.2218918857
